COD_APO;COD_ENDOSSO;DATA_COMP;COD_END;ITEM;TIPO_PES;MODALIDADE;TIPO_PROD;COBERTURA;COD_MODELO;ANO_MODELO;COD_TARIF;REGIAO;COD_CONT;TIPO_FRANQ;VAL_FRANQ;PERC_FATOR;TAB_REF;IS_CASCO;IS_RCDMAT;IS_RCDC;IS_RCDMOR;IS_APP_MA;IS_APP_IPA;IS_APP_DMH;PRE_CASCO;PRE_CAS_CO;PRE_RCDMAT;PRE_RCDC;PRE_RCDMOR;PRE_APP_MA;PRE_APP_IA;PRE_APP_DM;PRE_OUTROS;INICIO_VIG;FIM_VIG;PERC_BONUS;CLAS_BONUS;PERC_CORR;SEXO;DATA_NASC;TEMPO_HAB;UTILIZACAO;CEP_UTIL;CEP_PER;DATA_EMIS;SINAL
96789118;645835050;2019B;0;0;F;1;1;1;001352-8;2013;10;11;1;1;21190;1000;2;398840;750000;750000;0;0;0;0;12900;0;1980;220;0;0;0;0;0;20180116;20190116;30;9;1667;F;19801118;0;2;4289000;4289000;20180116;
284462805;645835052;2019B;1;0;F;1;1;1;014040-6;2010;10;11;1;2;40640;1000;2;334410;600000;750000;0;150000;0;0;-1290;0;150;0;0;690;0;0;0;20180209;20190115;30;9;0;F;19841006;0;2;4557000;4557000;20180214;
94939302;645835078;2019B;0;0;F;1;1;1;001313-7;2014;10;11;1;2;30600;1000;2;340220;500000;500000;0;100000;0;0;22780;0;4660;370;0;430;0;0;0;20180131;20190131;25;4;0;M;19590702;0;2;2738000;2738000;20180116;
208256094;645835095;2019B;0;0;F;1;1;1;018079-3;2018;23;11;1;1;55840;1000;2;1435300;1000000;1000000;0;10000;0;0;53490;0;3950;380;0;40;0;0;0;20180113;20190113;0;0;1667;M;19590810;0;3;2242000;2242000;20180117;
129689507;645835097;2019B;0;0;F;1;1;1;001255-6;2009;10;11;1;2;37080;1000;2;278490;500000;500000;0;50000;0;0;31280;0;5310;230;0;360;0;0;0;20180119;20190119;0;0;1375;F;19910208;0;2;5413000;5413000;20180117;
63178613;645835098;2019B;0;0;F;1;1;1;003325-1;2010;10;11;1;2;28010;1000;2;158930;500000;500000;0;10000;0;0;8140;0;4590;230;0;40;0;0;0;20180111;20190111;25;4;1111;F;19581029;0;3;4555000;4555000;20180117;
63178613;645835099;2019B;1;0;F;1;1;1;003286-7;2010;10;11;1;2;36810;1000;2;225620;500000;500000;0;10000;0;0;1490;0;0;0;0;0;0;0;0;20180601;20190111;25;4;0;F;19581029;0;3;4555000;4555000;20180601;
192838774;645835129;2019B;0;0;F;1;1;1;014042-2;2009;10;11;1;1;16250;1000;2;314970;1500000;5000000;0;250000;0;0;9710;0;2320;280;150;760;0;0;0;20180120;20190120;30;9;200;F;19530224;0;2;4302000;4302000;20180117;
149746459;645835142;2019B;0;0;F;1;1;1;005308-2;2010;10;11;1;1;12500;1000;2;217160;1000000;1000000;0;250000;0;0;9490;0;4930;230;0;940;0;0;0;20180118;20190118;30;6;2222;F;19520713;0;2;4116000;4116000;20180117;
118907582;645835147;2019B;0;0;F;1;1;1;004417-2;2016;10;11;1;2;37540;1000;2;551280;500000;500000;0;0;0;0;20130;0;5020;400;0;0;0;0;0;20180117;20190117;0;0;1477;M;19640528;0;2;2290000;2290000;20180117;
106577623;645835178;2019B;2;0;J;1;1;1;827080-5;2016;30;11;1;1;11170;1000;2;141250;1000000;2000000;0;500000;0;0;0;0;0;0;0;0;0;0;0;20180120;20190106;15;2;0;0;20151222;0;0;8246070;8246070;20180409;
80476860;645835205;2019B;0;0;F;1;1;1;004439-3;2017;10;11;1;1;16220;10239;2;541360;750000;750000;0;0;0;0;16730;0;3350;250;0;0;0;0;0;20180122;20190122;30;9;200;F;19790118;0;2;3222000;3222000;20180117;
176337558;645835206;2019B;0;0;F;1;1;1;003412-6;2017;10;11;1;2;21450;1000;2;381500;500000;500000;0;0;0;0;8800;0;1750;250;0;0;0;0;0;20180131;20190131;30;9;2105;F;19571124;0;2;3411000;3411000;20180117;
